,hookload,friction_factor,depth,rig_state
0,324.69589824316887,0.0,17407.51,off_bottom_static
1,359.0623372373515,0.15,17407.51,off_bottom_POOH
2,414.1536818510348,0.3,17407.51,off_bottom_POOH
3,502.3864182738369,0.45,17407.51,off_bottom_POOH
4,291.3473096296373,-0.15,17407.51,off_bottom_RIH
5,244.12052753378754,-0.3,17407.51,off_bottom_RIH
6,171.61671855710983,-0.45,17407.51,off_bottom_RIH
10,324.4809747464242,0.0,17207.423678160918,off_bottom_static
11,358.4097922560556,0.15,17207.423678160918,off_bottom_POOH
12,412.80043047928996,0.3,17207.423678160918,off_bottom_POOH
13,499.8311733755071,0.45,17207.423678160918,off_bottom_POOH
14,292.0544622363103,-0.15,17207.423678160918,off_bottom_RIH
15,246.24757022101173,-0.3,17207.423678160918,off_bottom_RIH
16,176.70812991988396,-0.45,17207.423678160918,off_bottom_RIH
20,323.34199218268935,0.0,17007.337356321837,off_bottom_static
21,356.708821428592,0.15,17007.337356321837,off_bottom_POOH
22,410.23720718302286,0.3,17007.337356321837,off_bottom_POOH
23,495.80766300780397,0.45,17007.337356321837,off_bottom_POOH
24,291.8290418380037,-0.15,17007.337356321837,off_bottom_RIH
25,247.37334347892957,-0.3,17007.337356321837,off_bottom_RIH
26,180.3997924958891,-0.45,17007.337356321837,off_bottom_RIH
30,321.3786570267728,0.0,16807.251034482757,off_bottom_static
31,353.97850787005245,0.15,16807.251034482757,off_bottom_POOH
32,406.29103184953834,0.3,16807.251034482757,off_bottom_POOH
33,489.8880671076898,0.45,16807.251034482757,off_bottom_POOH
34,290.6612477382247,-0.15,16807.251034482757,off_bottom_RIH
35,247.32455263386493,-0.3,16807.251034482757,off_bottom_RIH
36,182.3289590987365,-0.45,16807.251034482757,off_bottom_RIH
40,318.82662476815074,0.0,16607.164712643676,off_bottom_static
41,350.54623981162536,0.15,16607.164712643676,off_bottom_POOH
42,401.4620952439106,0.3,16607.164712643676,off_bottom_POOH
43,482.83154774474957,0.45,16607.164712643676,off_bottom_POOH
44,288.8468505132784,-0.15,16607.164712643676,off_bottom_RIH
45,246.5240723089238,-0.3,16607.164712643676,off_bottom_RIH
46,183.18684538085932,-0.45,16607.164712643676,off_bottom_RIH
50,315.9965321172131,0.0,16407.078390804596,off_bottom_static
51,346.76076292697974,0.15,16407.078390804596,off_bottom_POOH
52,396.2165553781958,0.3,16407.078390804596,off_bottom_POOH
53,475.3385007980894,0.45,16407.078390804596,off_bottom_POOH
54,286.7931399762175,-0.15,16407.078390804596,off_bottom_RIH
55,245.47112400302302,-0.3,16407.078390804596,off_bottom_RIH
56,183.6648858221332,-0.45,16407.078390804596,off_bottom_RIH
60,313.13761538797036,0.0,16206.992068965517,off_bottom_static
61,343.027255491238,0.15,16206.992068965517,off_bottom_POOH
62,391.0223990325428,0.3,16206.992068965517,off_bottom_POOH
63,467.738883409599,0.45,16206.992068965517,off_bottom_POOH
64,284.676725256211,-0.15,16206.992068965517,off_bottom_RIH
65,244.40938646905386,-0.3,16206.992068965517,off_bottom_RIH
66,184.3404539507876,-0.45,16206.992068965517,off_bottom_RIH
70,310.26349083101775,0.0,16006.905747126437,off_bottom_static
71,339.3249505486748,0.15,16006.905747126437,off_bottom_POOH
72,385.9587951417625,0.3,16006.905747126437,off_bottom_POOH
73,460.4725454758908,0.45,16006.905747126437,off_bottom_POOH
74,282.5896528271872,-0.15,16006.905747126437,off_bottom_RIH
75,243.39793183302183,-0.3,16006.905747126437,off_bottom_RIH
76,184.99902216578644,-0.45,16006.905747126437,off_bottom_RIH
80,307.37680067332997,0.0,15806.819425287356,off_bottom_static
81,335.60918120021586,0.15,15806.819425287356,off_bottom_POOH
82,380.88001668592614,0.3,15806.819425287356,off_bottom_POOH
83,453.1886498930278,0.45,15806.819425287356,off_bottom_POOH
84,280.48910083158233,-0.15,15806.819425287356,off_bottom_RIH
85,242.37352408570476,-0.3,15806.819425287356,off_bottom_RIH
86,185.64109323659125,-0.45,15806.819425287356,off_bottom_RIH
90,304.4810503314447,0.0,15606.733103448276,off_bottom_static
91,331.88382789967267,0.15,15606.733103448276,off_bottom_POOH
92,375.7904969205383,0.3,15606.733103448276,off_bottom_POOH
93,445.8924493806864,0.45,15606.733103448276,off_bottom_POOH
94,278.37926889675214,-0.15,15606.733103448276,off_bottom_RIH
95,241.33989985469853,-0.3,15606.733103448276,off_bottom_RIH
96,186.2714184076138,-0.45,15606.733103448276,off_bottom_RIH
100,301.5797455783376,0.0,15406.646781609195,off_bottom_static
101,336.0831608583036,0.15,15406.646781609195,off_bottom_POOH
102,387.1237151742994,0.3,15406.646781609195,off_bottom_POOH
103,464.0125974271932,0.45,15406.646781609195,off_bottom_POOH
104,268.88519074833005,-0.15,15406.646781609195,off_bottom_RIH
105,226.20238044797821,-0.3,15406.646781609195,off_bottom_RIH
106,162.45592846570855,-0.45,15406.646781609195,off_bottom_RIH
110,298.67671082671603,0.0,15206.560459770115,off_bottom_static
111,324.4178525754655,0.15,15206.560459770115,off_bottom_POOH
112,365.591791018212,0.3,15206.560459770115,off_bottom_POOH
113,431.2742780553373,0.45,15206.560459770115,off_bottom_POOH
114,274.0939252576503,-0.15,15206.560459770115,off_bottom_RIH
115,239.25957116659842,-0.3,15206.560459770115,off_bottom_RIH
116,187.51584955356256,-0.45,15206.560459770115,off_bottom_RIH
120,295.7736828450323,0.0,15006.474137931034,off_bottom_static
121,320.683949870029,0.15,15006.474137931034,off_bottom_POOH
122,360.4910618503832,0.3,15006.474137931034,off_bottom_POOH
123,423.9641145632904,0.45,15006.474137931034,off_bottom_POOH
124,271.94692552215383,-0.15,15006.474137931034,off_bottom_RIH
125,238.2159575393415,-0.3,15006.474137931034,off_bottom_RIH
126,188.13148508948612,-0.45,15006.474137931034,off_bottom_RIH
130,292.8706548633486,0.0,14806.387816091954,off_bottom_static
