,Unnamed: 0,Unnamed: 0.1,component,component_bottom_elevation_from_end_A,stack_length,component_bottom_elevation_above_mudline,component_top_elevation_above_mudline,StressOD,StressID,drag_diameter,buoyancy_diameter,internal_fluid_ID,A,I,J,EI,EA,GJ,stack_in_service_weight,wet_weight_per_unit_length,dry_weight_per_unit_length,internal_fluid_weight_per_unit_length,internal_fluid_weight_in_seawater_per_unit_length,component_bottom_effective_tension,component_top_effective_tension,true_tension,shear7_top_x_by_L,shear7_bottom_x_by_L,elevation_above_MSL,strain,axial_stretch,max_damage,elevation_above_mudline_at_max_damage,shear7_x_by_L_at_max_damage,elevation_from_end_A_at_max_damage,total_viv_max_damage,total_wave_max_damage
0,0,0,,0.0,0.0,797.9664000000001,797.9664000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35.966400000000135,0.0,0.0,,,,,,
1,1,1,Support Spring,0.0,0.0,797.9664000000001,797.9664000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.21153612787487,191.21153612787487,0,0.0,0.0,35.966400000000135,0.0,0.0,,,,,,
2,2,2,Diverter,4.572,4.572,793.3944000000001,797.9664000000001,0.5334,0.48895,0.5334,0.5334,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.0932905041,7382453.349248017,185834.6871465416,21.118561922105602,2.709023670140938,2.7310660145661156,1.8880420173904893,0.0,170.09297420576928,191.21153612787487,0,0.0,0.005257623554153522,31.39440000000013,2.447049058362468e-05,0.00011187908294833203,1.7362069711327403e-05,793.6184280000001,0.005000000000000028,4.347972000000024,1.308991139976e-05,4.272158311567404e-06
3,3,3,Upper FJ,4.572,0.0,793.3944000000001,793.3944000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.09297420576928,170.09297420576928,0,0.005257623554153522,0.005257623554153522,31.39440000000013,0.0,0.0,,,,,,
4,4,4,15ft Pup Jt.,9.144,4.572,788.8224000000001,793.3944000000001,0.5334,0.4826,1.2954,0.7622507893377743,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359946,71.04058960557028,10.949604464913916,13.698866295991195,1.839320406889436,0.0,99.05238460019902,170.09297420576928,0,0.005257623554153522,0.010515247108307044,26.82240000000013,1.6049818835653774e-05,7.337977171660905e-05,0.0006529009444552705,788.8356588000001,0.01049999999999998,9.130741199999983,0.0005854121283871699,6.748881606810053e-05
5,5,5,Inner Barrel,12.192,3.048,785.7744000000001,788.8224000000001,0.5334,0.4826,1.143,0.8874032522623859,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359946,99.05238460019902,26.278440944881893,30.658181102362214,1.839320406889436,0.0,0.0,99.05238460019902,0,0.010515247108307044,0.014020329477742724,23.774400000000128,5.906744352291774e-06,1.8003756785785328e-05,0.005001579269271031,786.0529567200001,0.013700000000000016,11.913443280000017,0.0046966950728781105,0.0003048841963929201
6,6,6,Tensioners,12.192,0.0,785.7744000000001,785.7744000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.014020329477742724,0.014020329477742724,23.774400000000128,0.0,0.0,,,,,,
7,7,7,Outer Barrel,30.48,18.288,767.4864000000001,785.7744000000001,0.6604,0.5969,1.143,0.7763828936880905,0.5969,0.06270505053831534,0.003105537269706821,0.006211074539413643,642356.6268787427,12970060.01021391,494120.4822144174,318.44686785805925,12.652582677165356,14.599133858267715,2.8137526169105014,0.0,3276.549973427614,3594.9968412856733,0,0.014020329477742724,0.03505082369435682,5.486400000000117,0.00026490034777410247,0.004844497560092786,0.018712903728262995,767.7045148800001,0.03479999999999996,30.26188511999997,0.0144870492455373,0.004225854482725694
8,8,8,MSL,30.48,0.0,762.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3276.549973427614,3276.549973427614,0,0.03505082369435682,0.03505082369435682,0.0,0.0,0.0,,,,,,
9,9,9,5ft Pup Jt.,30.48,0.0,767.4864000000001,767.4864000000001,0.5334,0.4826,1.2954,0.7821996959201001,0.4826,0.04053659832779983,0.0013108986628303115,0.002621797325660623,271149.3600316793,8384685.259128188,208576.43079359946,0.0,26.765332811370612,29.757913540085692,1.839320406889436,0.0,3276.549973427614,3276.549973427614,0,0.03505082369435682,0.03505082369435682,5.486400000000117,0.0,0.0,,,,,,
