,hookload,friction_factor,depth,rig_state
0,172.1017049406143,0.0,17407.51,off_bottom_static
1,211.1481846704089,0.15,17407.51,off_bottom_POOH
2,276.35951575547955,0.3,17407.51,off_bottom_POOH
3,382.74868081736696,0.45,17407.51,off_bottom_POOH
4,135.92772362027924,-0.15,17407.51,off_bottom_RIH
5,77.8608115667793,-0.3,17407.51,off_bottom_RIH
6,-24.631757097595735,-0.45,17407.51,off_bottom_RIH
10,172.1077323458598,0.0,17207.423678160918,off_bottom_static
11,210.77738445794697,0.15,17207.423678160918,off_bottom_POOH
12,275.3322287335174,0.3,17207.423678160918,off_bottom_POOH
13,380.6406037065602,0.45,17207.423678160918,off_bottom_POOH
14,136.21541419656452,-0.15,17207.423678160918,off_bottom_RIH
15,78.70343578701254,-0.3,17207.423678160918,off_bottom_RIH
16,-22.916039851498166,-0.45,17207.423678160918,off_bottom_RIH
20,172.26118844287348,0.0,17007.337356321837,off_bottom_static
21,210.16674122176047,0.15,17007.337356321837,off_bottom_POOH
22,273.39545820880136,0.3,17007.337356321837,off_bottom_POOH
23,376.4963666514176,0.45,17007.337356321837,off_bottom_POOH
24,136.9439446551117,-0.15,17007.337356321837,off_bottom_RIH
25,80.60162887078724,-0.3,17007.337356321837,off_bottom_RIH
26,-19.179836598491317,-0.45,17007.337356321837,off_bottom_RIH
30,172.59169724171278,0.0,16807.251034482757,off_bottom_static
31,209.78722799736641,0.15,16807.251034482757,off_bottom_POOH
32,271.7721511540624,0.3,16807.251034482757,off_bottom_POOH
33,372.7906578000816,0.45,16807.251034482757,off_bottom_POOH
34,137.88432930629514,-0.15,16807.251034482757,off_bottom_RIH
35,82.81526491304331,-0.3,16807.251034482757,off_bottom_RIH
36,-14.99367960782384,-0.45,16807.251034482757,off_bottom_RIH
40,173.0586555935365,0.0,16607.164712643676,off_bottom_static
41,209.57690173101784,0.15,16607.164712643676,off_bottom_POOH
42,270.3660892596599,0.3,16607.164712643676,off_bottom_POOH
43,369.37332255827783,0.45,16607.164712643676,off_bottom_POOH
44,138.97956051708059,-0.15,16607.164712643676,off_bottom_RIH
45,85.24595236971695,-0.3,16607.164712643676,off_bottom_RIH
46,-10.517670041066907,-0.45,16607.164712643676,off_bottom_RIH
50,173.60409696627426,0.0,16407.078390804596,off_bottom_static
51,209.4586064673246,0.15,16407.078390804596,off_bottom_POOH
52,269.07086133616934,0.3,16407.078390804596,off_bottom_POOH
53,366.09261469051864,0.45,16407.078390804596,off_bottom_POOH
54,140.15915371034703,-0.15,16407.078390804596,off_bottom_RIH
55,87.78803920164673,-0.3,16407.078390804596,off_bottom_RIH
56,-5.900572623923836,-0.45,16407.078390804596,off_bottom_RIH
60,174.16955263924763,0.0,16206.992068965517,off_bottom_static
61,209.37076075834804,0.15,16206.992068965517,off_bottom_POOH
62,267.8570834600199,0.3,16206.992068965517,off_bottom_POOH
63,363.0196420650474,0.45,16206.992068965517,off_bottom_POOH
64,141.34033816514628,-0.15,16206.992068965517,off_bottom_RIH
65,90.26722021544671,-0.3,16206.992068965517,off_bottom_RIH
66,-1.4897825701714174,-0.45,16206.992068965517,off_bottom_RIH
70,174.73830970614787,0.0,16006.905747126437,off_bottom_static
71,209.25688626010628,0.15,16006.905747126437,off_bottom_POOH
72,266.5041956031306,0.3,16006.905747126437,off_bottom_POOH
73,359.53336533461305,0.45,16006.905747126437,off_bottom_POOH
74,142.53080301457538,-0.15,16006.905747126437,off_bottom_RIH
75,92.8459400193418,-0.3,16006.905747126437,off_bottom_RIH
76,3.2788359693849123,-0.45,16006.905747126437,off_bottom_RIH
80,175.3086345027765,0.0,15806.819425287356,off_bottom_static
81,209.14637354500132,0.15,15806.819425287356,off_bottom_POOH
82,265.19820725031906,0.3,15806.819425287356,off_bottom_POOH
83,356.2218291212932,0.45,15806.819425287356,off_bottom_POOH
84,143.71870803779223,-0.15,15806.819425287356,off_bottom_RIH
85,95.3714510280261,-0.3,15806.819425287356,off_bottom_RIH
86,7.860948588902727,-0.45,15806.819425287356,off_bottom_RIH
90,175.88103412395634,0.0,15606.733103448276,off_bottom_static
91,209.03814778747054,0.15,15606.733103448276,off_bottom_POOH
92,263.8947665766612,0.3,15606.733103448276,off_bottom_POOH
93,352.913228664046,0.45,15606.733103448276,off_bottom_POOH
94,144.90863770146768,-0.15,15606.733103448276,off_bottom_RIH
95,97.87447461525284,-0.3,15606.733103448276,off_bottom_RIH
96,12.445897926519468,-0.45,15606.733103448276,off_bottom_RIH
100,176.4547958980588,0.0,15406.646781609195,off_bottom_static
101,208.93143136732135,0.15,15406.646781609195,off_bottom_POOH
102,262.59298232778536,0.3,15406.646781609195,off_bottom_POOH
103,349.60651029839374,0.45,15406.646781609195,off_bottom_POOH
104,146.09874673745844,-0.15,15406.646781609195,off_bottom_RIH
105,100.3505959049966,-0.3,15406.646781609195,off_bottom_RIH
106,17.032618940302903,-0.45,15406.646781609195,off_bottom_RIH
110,177.02924922202416,0.0,15206.560459770115,off_bottom_static
111,208.80122946777874,0.15,15206.560459770115,off_bottom_POOH
112,261.20275850364925,0.3,15206.560459770115,off_bottom_POOH
113,346.06604391328733,0.45,15206.560459770115,off_bottom_POOH
114,147.28768794699027,-0.15,15206.560459770115,off_bottom_RIH
115,102.8320691626713,-0.3,15206.560459770115,off_bottom_RIH
116,21.775779184838797,-0.45,15206.560459770115,off_bottom_RIH
120,177.60401361893375,0.0,15006.474137931034,off_bottom_static
121,208.71885770135796,0.15,15006.474137931034,off_bottom_POOH
122,259.9885704790111,0.3,15006.474137931034,off_bottom_POOH
123,342.9888307809348,0.45,15006.474137931034,off_bottom_POOH
124,148.47583527481726,-0.15,15006.474137931034,off_bottom_RIH
125,105.20890500256436,-0.3,15006.474137931034,off_bottom_RIH
126,26.206671541713444,-0.45,15006.474137931034,off_bottom_RIH
130,178.17878239320044,0.0,14806.387816091954,off_bottom_static
131,208.61255325005487,0.15,14806.387816091954,off_bottom_POOH
132,258.68631237765163,0.3,14806.387816091954,off_bottom_POOH
133,339.6807544487131,0.45,14806.387816091954,off_bottom_POOH
134,149.66454122875152,-0.15,14806.387816091954,off_bottom_RIH
135,107.58733465648038,-0.3,14806.387816091954,off_bottom_RIH
136,30.79148101845019,-0.45,14806.387816091954,off_bottom_RIH
140,178.75355116746712,0.0,14606.301494252873,off_bottom_static
141,208.50631584412324,0.15,14606.301494252873,off_bottom_POOH
142,257.3840960154004,0.3,14606.301494252873,off_bottom_POOH
143,336.37272015340903,0.45,14606.301494252873,off_bottom_POOH
144,150.8503253379859,-0.15,14606.301494252873,off_bottom_RIH
145,109.93118991976604,-0.3,14606.301494252873,off_bottom_RIH
146,35.37614988271666,-0.45,14606.301494252873,off_bottom_RIH
150,179.32831994173378,0.0,14406.215172413793,off_bottom_static
151,208.40015424322758,0.15,14406.215172413793,off_bottom_POOH
152,256.08192539353263,0.3,14406.215172413793,off_bottom_POOH
153,333.0647316265737,0.45,14406.215172413793,off_bottom_POOH
154,152.03607527427067,-0.15,14406.215172413793,off_bottom_RIH
155,112.22102711347804,-0.3,14406.215172413793,off_bottom_RIH
156,39.9606527075156,-0.45,14406.215172413793,off_bottom_RIH
160,179.90308871600047,0.0,14206.128850574712,off_bottom_static
161,208.2940788535422,0.15,14206.128850574712,off_bottom_POOH
162,254.77980505273808,0.3,14206.128850574712,off_bottom_POOH
163,329.75679306335854,0.45,14206.128850574712,off_bottom_POOH
164,153.22178562950205,-0.15,14206.128850574712,off_bottom_RIH
165,114.48112823166412,-0.3,14206.128850574712,off_bottom_RIH
166,44.54495706783862,-0.45,14206.128850574712,off_bottom_RIH
170,180.47785749026716,0.0,14006.042528735632,off_bottom_static
