,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,initial_flaw_depth,initial_flaw_length,service_life
0,0.6547409883816505,0.7271009341292942,0.9110245492020194,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",47.15509918916298,5,thin_pipe,internal_surface,circumferential,90,5.9,5,5
1,0.46973709541394765,0.6769713363722232,0.9630026134456318,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",23.92620047453778,10,thin_pipe,internal_surface,circumferential,90,5.2,10,5
2,0.44865125188196775,0.5217384066476667,1.0201717263361578,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",21.81056535737825,15,thin_pipe,internal_surface,circumferential,90,5.1000000000000005,15,5
3,0.4124693012088864,0.6366740288822853,1.0001713931490475,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",18.367851995853027,20,thin_pipe,internal_surface,circumferential,90,4.9,20,5
4,0.39621354647793355,0.5227152690967606,1.0199818031282253,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",16.93119938683697,25,thin_pipe,internal_surface,circumferential,90,4.8,25,5
5,0.38128012523799637,0.49191553546221994,1.0261599376388417,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",15.659898530310867,30,thin_pipe,internal_surface,circumferential,90,4.7,30,5
6,0.36593950821253846,0.534106932274451,1.0177963576568978,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",14.40157756926931,35,thin_pipe,internal_surface,circumferential,90,4.6000000000000005,35,5
7,0.3657901999568264,0.37155152064464037,1.0552002811732817,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",14.40157756926931,40,thin_pipe,internal_surface,circumferential,90,4.6000000000000005,40,5
8,0.3514647754989219,0.3526034283688038,1.0607077389443351,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",13.278064941352739,50,thin_pipe,internal_surface,circumferential,90,4.5,50,5
9,0.3383223393795132,0.37670141683173874,1.0537573247823089,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",12.288467115691153,60,thin_pipe,internal_surface,circumferential,90,4.4,60,5
10,0.3150164116394255,0.5028479712432897,1.0239200359676905,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",10.621734283682503,80,thin_pipe,internal_surface,circumferential,90,4.2,80,5
11,0.314894976097602,0.32925253010251754,1.0679604080550984,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",10.621734283682503,100,thin_pipe,internal_surface,circumferential,90,4.2,100,5
12,0.30435182769227725,0.36079040837882353,1.0582891009662667,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",9.912192092090637,120,thin_pipe,internal_surface,circumferential,90,4.1,120,5
13,0.2944590306873143,0.3654439483464963,1.0569414117644003,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",9.269236914750731,150,thin_pipe,internal_surface,circumferential,90,4.0,150,5
14,0.28468757707302933,0.40119340134375653,1.047176917723753,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",8.65498685749722,180,thin_pipe,internal_surface,circumferential,90,3.9000000000000004,180,5
15,0.28467421953438105,0.3376679265756447,1.065283273488163,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",8.65498685749722,200,thin_pipe,internal_surface,circumferential,90,3.9000000000000004,200,5
0,,,,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",,5,thin_pipe,external_surface,circumferential,90,24.8,5,5
1,,,,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",,10,thin_pipe,external_surface,circumferential,90,24.8,10,5
2,,,,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",,15,thin_pipe,external_surface,circumferential,90,24.8,15,5
3,,,,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",,20,thin_pipe,external_surface,circumferential,90,24.8,20,5
4,0.24262392398692734,0.2627025072459882,1.092213168988641,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",17.80220921214282,25,thin_pipe,external_surface,circumferential,90,17.8,25,5
5,0.3035607810231052,0.3093367114527555,1.0746076546024632,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",16.047413976694962,30,thin_pipe,external_surface,circumferential,90,15.700000000000001,30,5
6,0.347157052883287,0.34883452858100567,1.061841226580323,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",14.86410115098773,35,thin_pipe,external_surface,circumferential,90,6.800000000000001,35,5
7,0.3778767375744645,0.41241420670021267,1.044308107641115,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",13.83922875786904,40,thin_pipe,external_surface,circumferential,90,2.4000000000000004,40,5
8,0.4095471888003505,0.6094673597571202,1.0045246645549577,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",12.165545205283054,50,thin_pipe,external_surface,circumferential,90,1.8,50,5
9,0.416279870200582,0.6731675277414161,0.9667084907188563,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",10.81482837616657,60,thin_pipe,external_surface,circumferential,90,1.6,60,5
10,0.40283429720797875,0.7249015387470165,0.9134311512529666,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",8.875464045856075,80,thin_pipe,external_surface,circumferential,90,1.4,80,5
11,0.4069076721270701,0.7262954151942073,0.9119059566728532,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",8.352919320618804,100,thin_pipe,external_surface,circumferential,90,1.3,100,5
12,0.3820015760193752,0.7554372152675138,0.8783120084500963,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",7.17660318637542,120,thin_pipe,external_surface,circumferential,90,1.2000000000000002,120,5
13,0.3727445103331863,0.7653556120535163,0.8661131290198909,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",6.482463968417754,150,thin_pipe,external_surface,circumferential,90,1.1,150,5
14,0.3398573454220818,0.7907565752800203,0.8327737402393385,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",5.332478126444828,180,thin_pipe,external_surface,circumferential,90,1.0,180,5
15,0.4232397925867165,0.7298290656806884,0.9079880345988663,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",7.080855927510611,200,thin_pipe,external_surface,circumferential,90,1.0,200,5
0,0.2716672259251493,0.5830134716750844,1.0089679057253447,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",20.04734050674566,5,thin_pipe,embedded,circumferential,90,5.7,5,5
1,0.26297457918067957,0.27238351649203973,1.0882891027902721,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",12.473439244751097,10,thin_pipe,embedded,circumferential,90,5.5,10,5
2,0.3077880914914913,0.4200445533031981,1.04240586754306,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",9.061218924486848,15,thin_pipe,embedded,circumferential,90,2.6,15,5
3,0.33241095484585503,0.6530440287816658,0.9858733086468866,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",7.1415885036446225,20,thin_pipe,embedded,circumferential,90,2.1,20,5
4,0.33917593581833616,0.6724265804976903,0.9674303618269198,"75ft Bare jt.  - protected, OuterDia, max_dam, @avg elev 48.9",6.197729554098123,25,thin_pipe,embedded,circumferential,90,1.9000000000000001,25,5
