,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,initial_flaw_depth,initial_flaw_length,service_life
0,0.5941000748055556,0.7862414045782727,0.8389662925886436,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",36.05701154266505,5,thin_pipe,internal_surface,circumferential,90,2.3,5,5
1,0.4070659316798175,0.7937520615360054,0.828623766807424,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",16.89493039547991,10,thin_pipe,internal_surface,circumferential,90,2.1,10,5
2,0.40679110864480317,0.7308930956188934,0.9067932600385569,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",16.89493039547991,15,thin_pipe,internal_surface,circumferential,90,2.1,15,5
3,0.4064853468617907,0.6567657026808367,0.9823875247583527,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",16.89493039547991,20,thin_pipe,internal_surface,circumferential,90,2.1,20,5
4,0.34368896390891185,0.7490140929654793,0.8859710952660782,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",12.045793232486785,25,thin_pipe,internal_surface,circumferential,90,2.0,25,5
5,0.3435651266791679,0.719881378454289,0.9189242645667034,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",12.045793232486785,30,thin_pipe,internal_surface,circumferential,90,2.0,30,5
6,0.34344431568272593,0.6907690121904639,0.9493203493536431,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",12.045793232486785,35,thin_pipe,internal_surface,circumferential,90,2.0,35,5
7,0.34332677198743805,0.6619382203452484,0.9774953562091244,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",12.045793232486785,40,thin_pipe,internal_surface,circumferential,90,2.0,40,5
8,0.3431016361252037,0.4818366394940247,1.0282749422800497,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",12.045793232486785,50,thin_pipe,internal_surface,circumferential,90,2.0,50,5
9,0.29420057960578844,0.7263275026998505,0.9118708461795272,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",8.825178769742095,60,thin_pipe,internal_surface,circumferential,90,1.9000000000000001,60,5
10,0.2940401117955057,0.6877061383307139,0.9523836251949354,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",8.825178769742095,80,thin_pipe,internal_surface,circumferential,90,1.9000000000000001,80,5
11,0.2938983929384674,0.6528652791699208,0.9860407286126287,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",8.825178769742095,100,thin_pipe,internal_surface,circumferential,90,1.9000000000000001,100,5
12,0.2937694799726689,0.5479331748412107,1.0152135632742676,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",8.825178769742095,120,thin_pipe,internal_surface,circumferential,90,1.9000000000000001,120,5
13,0.293608489224358,0.37828685431636266,1.0533167778213506,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",8.825178769742095,150,thin_pipe,internal_surface,circumferential,90,1.9000000000000001,150,5
14,0.2556137133883688,0.6986466120357184,0.9413033873957415,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",6.663218797882874,180,thin_pipe,internal_surface,circumferential,90,1.8,180,5
15,0.25556204803507593,0.6860725125830592,0.9540094665065875,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",6.663218797882874,200,thin_pipe,internal_surface,circumferential,90,1.8,200,5
0,,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",,5,thin_pipe,external_surface,circumferential,90,24.8,5,5
1,,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",,10,thin_pipe,external_surface,circumferential,90,24.8,10,5
2,,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",,15,thin_pipe,external_surface,circumferential,90,24.8,15,5
3,,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",,20,thin_pipe,external_surface,circumferential,90,24.8,20,5
4,0.2425331144582622,0.2619244217380781,1.092535306105972,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",17.808669859567893,25,thin_pipe,external_surface,circumferential,90,17.8,25,5
5,0.3031099238590874,0.30319372691212554,1.0767527860779567,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",16.07260179626106,30,thin_pipe,external_surface,circumferential,90,7.7,30,5
