,OD,ID,t,Pd,Pa,Pt,Pb
0,13.0,11.0,1.0,4824.421159873634,5427.473804857838,8056.8096856986795,8040.701933122723
1,13.2,11.0,1.1,5413.486037095841,6090.171791732822,8793.140782226437,9022.47672849307
2,13.4,11.0,1.2,5993.692459451915,6742.904016883405,9518.398810171526,9989.487432419859
3,13.6,11.0,1.3,6565.302914299995,7385.965778587495,10232.911878731624,10942.171523833325
4,13.8,11.0,1.4,7128.568392366328,8019.63944141212,10936.993726314544,11880.947320610547
5,14.0,11.0,1.5,7683.729049480686,8644.195180665773,11630.94454770749,12806.21508246781
6,14.2,11.0,1.6,8231.01482137534,9259.891674047258,12315.051762575804,13718.358035625566
7,14.4,11.0,1.7,8770.645995486735,9866.976744922578,12989.590730215044,14617.743325811225
8,14.6,11.0,1.8,9302.833743318646,10465.687961233478,13654.825415004932,15504.722905531076
9,14.8,11.0,1.9,9827.78061658675,11056.253193660095,14311.00900659007,16379.634360977918
10,15.0,11.0,2.0,10345.681010061735,11638.891136319453,14958.384498433797,17242.801683436224
